,title,price,commit,shop_name,href,brand,RAM,SSD,GPU,CPU,screen
41,惠普(HP)星14 14英寸轻薄窄边框笔记本电脑(i5-1155G7 16G 512GSSD FHD IPS 72% NTSC)初恋粉,4799.00,2万+,惠普京东自营官方旗舰店,https://item.jd.com/100027683422.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
42,惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i5-1135G7 16G 512GSSD UMA FHD IPS)银,4399.00,2万+,惠普京东自营官方旗舰店,https://item.jd.com/100025908802.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1135G7,14英寸
43,"京品电脑
惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(i3-1115G4 8G 256GSSD UMA FHD IPS)银",3299.00,2万+,惠普京东自营官方旗舰店,https://item.jd.com/100021039112.html,惠普（HP）,内存容量：8GB,固态硬盘（SSD）：256GB,显卡型号：集成显卡,i3-1115G4,14英寸
44,"京品电脑
惠普(HP)星15 青春版 15.6英寸轻薄窄边框笔记本电脑(R7-4700U 16G 512GSSD UMA FHD IPS)银",4099.00,5万+,惠普京东自营官方旗舰店,https://item.jd.com/100014662878.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-4700U,15.6英寸
45,华硕灵耀Pro16 高性能游戏设计轻薄笔记本电脑(标压锐龙R9-5900HX 16G 512G RTX3050Ti 2.5K 120Hz高色域)黑,6999.00,5000+,华硕京东自营官方旗舰店,https://item.jd.com/100026511974.html,华硕（ASUS）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：RTX 3050Ti,R9-5900HX,16英寸
46,【教育优惠】AppleMacBookAir13.3 新款8核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 笔记本电脑 MGN63CH/A,7199.00,2万+,Apple产品京东自营旗舰店,https://item.jd.com/100009554947.html,Apple,内存容量：8G,固态硬盘（SSD）：256GB,none,其他,13.3英寸
47,华为笔记本电脑MateBook D 14 2022款 14英寸 11代酷睿 i5 16G+512G 集显 轻薄本/护眼全面屏/华为分享 灰,4799.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100030585506.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
48,华为笔记本电脑MateBook 14 2021款 14.0英寸 11代酷睿i7 16G 512G 锐炬显卡/2K触控轻薄本 /多屏协同 深空灰,6699.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100024403104.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i7-1165G7,14英寸
49,华为笔记本电脑MateBook 14 2021款 14.0英寸11代酷睿i5 16G 512G 锐炬显卡/2K触控轻薄本 /多屏协同 深空灰,5699.00,10万+,华为京东自营官方旗舰店,https://item.jd.com/100010022425.html,华为（HUAWEI）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1135G7,14英寸
50,戴尔DELL灵越15Pro-5518 15.6英寸高色域防蓝光商务笔记本电脑标压i5-11320H 16G 512G 100%sRGB银,5699.00,2万+,戴尔京东自营官方旗舰店,https://item.jd.com/100025327966.html,戴尔（DELL）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-11320H,15.6英寸
51,攀升MaxBook P1X英特尔4核 15.6英寸商务办公手提轻薄笔记本电脑（10代J4125 12G 256G）2022新,1799.00,1万+,攀升京东自营官方旗舰店,https://item.jd.com/100015147663.html,攀升（IPASON）,内存容量：12GB,固态硬盘（SSD）：256GB,显卡型号：集成显卡,J4125,15.6英寸
